date,ticker,fmom_1m,fmom_12_2,fmom_12m,fvol_12m,post_pub,years_since_pub,ret,fwd_ret
1952-06-30,BM,0.0270917878787879,0.0015192176308539815,0.0036502651515151418,0.016493527916149876,0.0,0.0,0.0270917878787879,0.00825502702702703
1952-07-31,BM,0.00825502702702703,0.004996545454545445,0.005268085585585578,0.015848394990726045,0.0,0.0,0.00825502702702703,0.0183802972972973
1952-08-31,BM,0.0183802972972973,0.003874049288958375,0.0050829032896532855,0.015664849611989717,0.0,0.0,0.0183802972972973,0.0071530810810811
1952-09-30,BM,0.0071530810810811,0.003478665847665848,0.003784867117117119,0.014684334875367168,0.0,0.0,0.0071530810810811,0.0074741891891891695
1952-10-31,BM,0.0074741891891891695,0.0032631084803812116,0.0036140318727818747,0.014623292124546723,0.0,0.0,0.0074741891891891695,-0.0200602702702702
1952-11-30,BM,-0.0200602702702702,0.0035892964782964815,0.001618499249249258,0.016138210281787402,0.0,0.0,-0.0200602702702702,0.014795594594594601
1952-12-31,BM,0.014795594594594601,0.0044900184647457455,0.005348816475566484,0.013051619367736625,0.0,0.0,0.014795594594594601,0.0584764054054054
1953-01-31,BM,0.0584764054054054,0.005956609708882444,0.010333259350259357,0.01989403332024649,0.0,0.0,0.0584764054054054,0.00247643243243243
1953-02-28,BM,0.00247643243243243,0.010641307720944094,0.009960901446901455,0.020004731153804054,0.0,0.0,0.00247643243243243,0.00755035135135136
1953-03-31,BM,0.00755035135135136,0.009784082570173488,0.00959793830193831,0.020005746319923485,0.0,0.0,0.00755035135135136,0.041391675675675706
1953-04-30,BM,0.041391675675675706,0.011520117266026364,0.014009413800163809,0.02074251163663082,0.0,0.0,0.041391675675675706,0.00403467567567564
1953-05-31,BM,0.00403467567567564,0.015725870151142893,0.014751603944853952,0.02015657351403178,0.0,0.0,0.00403467567567564,-0.0172121891891892
1953-06-30,BM,-0.0172121891891892,0.013629769041769048,0.011059605855855864,0.02168995525251019,0.0,0.0,-0.0172121891891892,-0.006253000000000009
1953-07-31,BM,-0.006253000000000009,0.011314567567567574,0.009850603603603608,0.022257411777114783,0.0,0.0,-0.006253000000000009,-0.00673649999999999
1953-08-31,BM,-0.00673649999999999,0.009075176904176908,0.0077575371621621675,0.022561272882944405,0.0,0.0,-0.00673649999999999,-0.034705
1953-09-30,BM,-0.034705,0.007812487714987718,0.004269363738738743,0.02568305919224688,0.0,0.0,-0.034705,-0.0149795263157895
1953-10-31,BM,-0.0149795263157895,0.003978015970515975,0.00239822077999052,0.026240235542692156,0.0,0.0,-0.0149795263157895,-0.0168519736842105
1953-11-30,BM,-0.0168519736842105,0.004439901784559676,0.0026655788288288285,0.026005904884424686,0.0,0.0,-0.0168519736842105,-0.0291014210526316
1953-12-31,BM,-0.0291014210526316,0.0015628501228501209,-0.0009925058084400216,0.027204284384942504,0.0,0.0,-0.0291014210526316,0.0262507105263158
1954-01-31,BM,0.0262507105263158,-0.006398770464244152,-0.0036779803816974887,0.02186716951580782,0.0,0.0,0.0262507105263158,-0.011866526315789501
1954-02-28,BM,-0.011866526315789501,-0.004237472455709299,-0.004873226944049316,0.021892165979998962,0.0,0.0,-0.011866526315789501,-0.0438489473684211
1954-03-31,BM,-0.0438489473684211,-0.006002643152722106,-0.009156501837363688,0.02415205694882197,0.0,0.0,-0.0438489473684211,-0.0371487368421053
1954-04-30,BM,-0.0371487368421053,-0.013751790702185452,-0.015701536213845436,0.019378849000086157,0.0,0.0,-0.0371487368421053,0.0173463947368421
1954-05-31,BM,0.0173463947368421,-0.017495737294710993,-0.014592226292081565,0.020930227233689373,0.0,0.0,0.0173463947368421,0.000863578947368437
1954-06-30,BM,0.000863578947368437,-0.014354047846889963,-0.013085912280701764,0.021370345766121873,0.0,0.0,0.000863578947368437,0.0436308947368421
1954-07-31,BM,0.0436308947368421,-0.013707086124401923,-0.008928921052631586,0.026944976011707054,0.0,0.0,0.0436308947368421,0.022043078947368403
1954-08-31,BM,0.022043078947368403,-0.00912823205741628,-0.006530622807017554,0.02839939998600346,0.0,0.0,0.022043078947368403,-4.3631578947351e-05
1954-09-30,BM,-4.3631578947351e-05,-0.003969315789473697,-0.003642175438596501,0.027001604500800414,0.0,0.0,-4.3631578947351e-05,-0.00230921052631578
1954-10-31,BM,-0.00230921052631578,-0.002611507177033502,-0.002586315789473691,0.026764658340898202,0.0,0.0,-0.00230921052631578,0.014689789473684201
1954-11-30,BM,0.014689789473684201,-0.001289437799043073,4.216447368420101e-05,0.026785111558346,0.0,0.0,0.014689789473684201,0.0677423684210526
1954-12-31,BM,0.0677423684210526,0.002691581339712909,0.008112480263157884,0.03139813730289672,0.0,0.0,0.0677423684210526,0.0380132631578947
1955-01-31,BM,0.0380132631578947,0.006463550239234437,0.009092692982456126,0.032189502670541895,0.0,0.0,0.0380132631578947,0.0232491315789474
1955-02-28,BM,0.0232491315789474,0.01099807655502391,0.012018997807017534,0.031703400541688846,0.0,0.0,0.0232491315789474,-0.0147535789473684
1955-03-31,BM,-0.0147535789473684,0.017097901913875592,0.01444361184210526,0.02793036827913344,0.0,0.0,-0.0147535789473684,-0.0008245789473684171
1955-04-30,BM,-0.0008245789473684171,0.019133825358851674,0.017470625,0.023437642019200358,0.0,0.0,-0.0008245789473684171,-0.0317167894736842
1955-05-31,BM,-0.0317167894736842,0.01748191866028708,0.013382026315789474,0.027404943709058684,0.0,0.0,-0.0317167894736842,0.0117729736842105
1955-06-30,BM,0.0117729736842105,0.014520066985645931,0.014291142543859646,0.027131497889026936,0.0,0.0,0.0117729736842105,-0.00663192307692309
1955-07-31,BM,-0.00663192307692309,0.011623892344497606,0.010102574392712548,0.026048424019801904,0.0,0.0,-0.00663192307692309,-0.006392743589743581
1955-08-31,BM,-0.006392743589743581,0.009017073978652925,0.007732922514619882,0.026156628221528245,0.0,0.0,-0.006392743589743581,0.000136934615384601
1955-09-30,BM,0.000136934615384601,0.008439881977671449,0.007747969697480879,0.026151799383067546,0.0,0.0,0.000136934615384601,-0.006676808333333329
1955-10-31,BM,-0.006676808333333329,0.00866225880873512,0.007384003213562751,0.02633425078531358,0.0,0.0,-0.006676808333333329,-0.028607908974359
1955-11-30,BM,-0.028607908974359,0.006719840826278981,0.0037758616762258164,0.028146111332384306,0.0,0.0,-0.028607908974359,0.010156908333333402
1955-12-31,BM,0.010156908333333402,-0.0020392753005766193,-0.001022926664417451,0.01997021134164443,0.0,0.0,0.010156908333333402,0.012513947435897399
1956-01-31,BM,0.012513947435897399,-0.004571671193718555,-0.0031478696412505594,0.016492811117233257,0.0,0.0,0.012513947435897399,-0.019286705128205198
1956-02-29,BM,-0.019286705128205198,-0.005547597024904919,-0.006692522700179942,0.014786438989197275,0.0,0.0,-0.019286705128205198,-0.0202047474358974
1956-03-31,BM,-0.0202047474358974,-0.005959699404980992,-0.007146786740890692,0.015136199467314926,0.0,0.0,-0.0202047474358974,-0.0264753192307692
1956-04-30,BM,-0.0264753192307692,-0.007721532903938172,-0.009284348431174093,0.015951465291851003,0.0,0.0,-0.0264753192307692,0.008010501923076941
1956-05-31,BM,0.008010501923076941,-0.007245035609127717,-0.00597374081477733,0.014964557092439556,0.0,0.0,0.008010501923076941,-0.0388895833333333
1956-06-30,BM,-0.0388895833333333,-0.007587078496503496,-0.010195620566239313,0.01656374257299756,0.0,0.0,-0.0388895833333333,-0.0137802820512821
1956-07-31,BM,-0.0137802820512821,-0.01051959306526806,-0.010791317147435897,0.016552464396124466,0.0,0.0,-0.0137802820512821,0.00656997435897436
1956-08-31,BM,0.00656997435897436,-0.01119118747086247,-0.009711090651709402,0.01727291409713732,0.0,0.0,0.00656997435897436,0.0411438461538462
1956-09-30,BM,0.0411438461538462,-0.010606365675990674,-0.006293848023504268,0.022625407289459904,0.0,0.0,0.0411438461538462,0.00717448717948718
1956-10-31,BM,0.00717448717948718,-0.0062590334498834445,-0.005139573397435893,0.022955016882324854,0.0,0.0,0.00717448717948718,0.026942128205128202
1956-11-30,BM,0.026942128205128202,-0.0030060883449883375,-0.000510403632478626,0.023389164257208283,0.0,0.0,0.026942128205128202,-0.0384672564102564
1956-12-31,BM,-0.0384672564102564,-0.0014801592657342649,-0.004562417361111109,0.025490619301815523,0.0,0.0,-0.0384672564102564,0.07819551282051279
1957-01-31,BM,0.07819551282051279,-0.006114814160839155,0.0009110464209401738,0.03483109308476589,0.0,0.0,0.07819551282051279,-0.0418116923076923
1957-02-28,BM,-0.0418116923076923,0.002747205652680662,-0.0009660358440170847,0.03658148747305848,0.0,0.0,-0.0418116923076923,-0.00343946153846154
1957-03-31,BM,-0.00343946153846154,0.0007829379370629437,0.00043107131410257023,0.03609687016547158,0.0,0.0,-0.00343946153846154,-0.0205902051282051
1957-04-30,BM,-0.0205902051282051,0.0028771068181818226,0.0009214974893162453,0.03573625405190183,0.0,0.0,-0.0205902051282051,-0.0152533596491228
1957-05-31,BM,-0.0152533596491228,0.0002770425407925456,-0.0010171576417004,0.03594712000762129,0.0,0.0,-0.0152533596491228,-0.021243856275303598
1957-06-30,BM,-0.021243856275303598,0.0024257901484480457,0.00045331961313540826,0.03459243332242166,0.0,0.0,-0.021243856275303598,0.019080225
1957-07-31,BM,0.019080225,0.001747283400809728,0.00319169520074225,0.034663817463370224,0.0,0.0,0.019080225,0.027601200000000003
1957-08-31,BM,0.027601200000000003,0.00288457891363024,0.004944297337494387,0.03537453428662209,0.0,0.0,0.027601200000000003,0.029211200000000003
1957-09-30,BM,0.029211200000000003,0.0016534292632805862,0.003949910158007204,0.03441926521311834,0.0,0.0,0.029211200000000003,-0.00664724999999999
1957-10-31,BM,-0.00664724999999999,0.0036567667924181156,0.002798098726383273,0.03453262734848085,0.0,0.0,-0.00664724999999999,-0.039568400000000004
1957-11-30,BM,-0.039568400000000004,0.0006031869555882801,-0.002744445290710744,0.03562541788228859,0.0,0.0,-0.039568400000000004,0.0177106
1957-12-31,BM,0.0177106,0.0005030829928843159,0.001937042743477289,0.034165596828542845,0.0,0.0,0.0177106,0.0742637
1958-01-31,BM,0.0742637,-0.00499554544534412,0.0016093916751012231,0.03337755220326298,0.0,0.0,0.0742637,0.015075375
1958-02-28,BM,0.015075375,0.005556762946264272,0.006349980617408915,0.030571726201483927,0.0,0.0,0.015075375,-0.00193697500000001
1958-03-31,BM,-0.00193697500000001,0.00723992990430623,0.006475187828947376,0.0305310381651427,0.0,0.0,-0.00193697500000001,0.011952025
1958-04-30,BM,0.011952025,0.008935678097779419,0.009187040339631134,0.02933009271728848,0.0,0.0,0.011952025,0.016861475
1958-05-31,BM,0.016861475,0.01140889488406331,0.01186327656039137,0.028345938684382354,0.0,0.0,0.016861475,-0.00246197499999998
1958-06-30,BM,-0.00246197499999998,0.01487301590909091,0.013428433333333337,0.026829679356109134,0.0,0.0,-0.00246197499999998,0.0163312
1958-07-31,BM,0.0163312,0.012914634090909096,0.013199347916666668,0.02678873946202714,0.0,0.0,0.0163312,0.00408347500000003
1958-08-31,BM,0.00408347500000003,0.011890088636363639,0.011239537500000006,0.02649802341647284,0.0,0.0,0.00408347500000003,0.04297515
1958-09-30,BM,0.04297515,0.009605750000000007,0.012386533333333338,0.02762077437729437,0.0,0.0,0.04297515,0.00940732243589742
1958-10-31,BM,0.00940732243589742,0.014116877272727278,0.01372441436965812,0.02699678538236838,0.0,0.0,0.00940732243589742,-0.029194650000000003
1958-11-30,BM,-0.029194650000000003,0.018569215675990677,0.014588893536324789,0.02524434187365027,0.0,0.0,-0.029194650000000003,0.005338499999999971
1958-12-31,BM,0.005338499999999971,0.014305102039627043,0.013557885202991454,0.02535764857556744,0.0,0.0,0.005338499999999971,0.08710872500000001
1959-01-31,BM,0.08710872500000001,0.008039174766899766,0.014628303952991454,0.028258376526702905,0.0,0.0,0.08710872500000001,-0.023125075000000002
1959-02-28,BM,-0.023125075000000002,0.014587661130536132,0.01144493311965812,0.030282617027941876,0.0,0.0,-0.023125075000000002,0.01872885
1959-03-31,BM,0.01872885,0.01266147022144522,0.013167085202991452,0.03003905960471247,0.0,0.0,0.01872885,-0.057621000000000006
1959-04-30,BM,-0.057621000000000006,0.013277545221445223,0.007369333119658119,0.03634669624358986,0.0,0.0,-0.057621000000000006,0.037769425
1959-05-31,BM,0.037769425,0.006506411130536131,0.009111662286324788,0.03733088156645814,0.0,0.0,0.037769425,-0.019296374999999998
