model,oos_IC,oos_ICIR,ann_ret_gross,sharpe_gross,ann_ret_net,sharpe_net,nw_t_net,one_way_turnover,n_oos_months
elasticnet,0.10717054263565888,0.1849960087682355,0.07418782630208498,0.33870028174054506,0.05369945420906172,0.24511545147324684,2.494720263035302,0.8536821705426356,1032
lightgbm,0.04186046511627905,0.07520460331077734,0.036974471793544954,0.18093610833190749,0.016672146212149602,0.0814898201472561,0.7395535256329909,0.8459302325581395,1032
icnet,0.11405038759689919,0.19669025023883277,0.07422956642449058,0.3425812794508385,0.05967142688960684,0.27501347082673067,2.7832724103771582,0.6065891472868217,1032
pulse,0.023934108527131768,0.040874513798383666,0.03666629453447329,0.17294712952468114,0.022329085232147702,0.10525932641888489,1.0058072802261104,0.5973837209302325,1032
