signal,staleness_months,IC,IC_t
fmom_1m,0,0.08255613126079446,4.618177572319311
fmom_1m,1,0.04563526361279169,2.5604221075139697
fmom_1m,2,0.022231833910034592,1.223067838084387
fmom_1m,3,0.04865800865800865,2.686718622837951
fmom_1m,4,0.0194107452339688,1.1125540530670133
fmom_1m,5,0.06808326105810929,3.75746796559477
fmom_1m,6,0.04913194444444445,2.7274233749914165
fmom_12_2,0,0.11390328151986183,5.931909916211801
fmom_12_2,1,0.09299913569576487,4.846839871492314
fmom_12_2,2,0.08122837370242211,4.329303509386862
fmom_12_2,3,0.07766233766233764,4.014709367277217
fmom_12_2,4,0.0692374350086655,3.664515796589964
fmom_12_2,5,0.0712055507372073,3.6985049307336277
fmom_12_2,6,0.07178819444444445,3.7585811491173557
fmom_12m,0,0.11597582037996544,5.879428726604125
fmom_12m,1,0.10371650821089021,5.460310272220462
fmom_12m,2,0.08226643598615917,4.180273817330941
fmom_12m,3,0.08051948051948052,4.1261613007361095
fmom_12m,4,0.07582322357019063,4.119540330162754
fmom_12m,5,0.07337380745880313,3.897754104144521
fmom_12m,6,0.08029513888888892,4.276851195941464
fvol_12m,0,0.08687392055267702,4.631536047053311
fvol_12m,1,0.08833189282627482,4.711914244530568
fvol_12m,2,0.08538062283737022,4.396586605653822
fvol_12m,3,0.09290043290043286,4.845955483266733
fvol_12m,4,0.09315424610051991,4.869989324272664
fvol_12m,5,0.07883781439722465,4.113328452047481
fvol_12m,6,0.08394097222222226,4.289368201736927
post_pub,0,0.05483715492578138,1.9491199364284613
post_pub,1,0.053125173434403664,1.9083707308423894
post_pub,2,0.056442393537881295,2.0349588149195013
post_pub,3,0.05296133945460956,1.9192873848257246
post_pub,4,0.052068527862202306,1.9013265650170166
post_pub,5,0.05174085990261412,1.896756402648399
post_pub,6,0.049791402738005516,1.818677453850038
years_since_pub,0,0.02688902456615049,1.0364245889017891
years_since_pub,1,0.026543147143356743,1.028093547714672
years_since_pub,2,0.027067724216454942,1.0491414337133853
years_since_pub,3,0.02532541791925513,0.9832190723111027
years_since_pub,4,0.02538202068126917,0.9870253847228917
years_since_pub,5,0.02399320413123211,0.9346854049625731
years_since_pub,6,0.023002139391220342,0.8933582443689462
