fold,gamma,theta_fmom_1m,theta_fmom_12_2,theta_fmom_12m,theta_fvol_12m,theta_post_pub,theta_years_since_pub
0,0.9366852392931792,0.06243611661430132,0.37071224169463457,0.40738052616021125,0.10164129358994047,0.02826346795662791,0.029566353984284432
1,0.924395212661888,-0.12113625565214824,0.26202336653251873,0.4971067515612632,0.015330164476418757,0.05102564381970003,0.05337781795795098
2,0.9227661310459805,-0.00810935540810911,0.30060121602509476,0.4709881674983379,0.1082631661453153,0.05475695756105471,0.05728113736208825
3,0.9035136613875498,0.003676928373852561,0.16738226458259706,0.5055099668484296,0.17685856082989934,0.07163502812444414,0.07493725124077735
4,0.921727237994174,0.03546008034626787,0.3519140632779036,0.41105580555011695,0.10570829073925826,0.0468510137769012,0.04901074630955213
5,0.95801962572512,-0.009828048293056117,0.23504097279236394,0.4637078826581156,-0.21843938130783985,0.035669708457925955,0.037314006490698576
6,0.9300248860120983,-0.00197872103238009,0.08644962764847396,0.5794915802223636,-0.23799048138429485,0.04598489178487002,0.04810469792761745
7,0.9208154297834864,-0.00140569175798509,0.14071225915636618,0.5461405851809064,-0.1951191184133284,0.056997442049730215,0.0596249034416838
8,0.9151339614800209,0.06886053593826391,-0.007206210424791543,0.63074781813684,0.14660139271704425,0.07164077732048152,0.0749432654625787
9,0.9311606492077449,0.14193358454843086,-0.23672330411908765,0.4531580451841859,-0.011819542781683134,0.07642133091312582,0.07994419245348665
10,0.9352121285187618,0.19217905253367676,-0.19199932132677736,0.44351937113906464,-0.01329668045599316,0.0777116167788851,0.08129395776560283
11,0.923191656442473,0.1886933477050911,-0.21341981922356612,0.4654992853556992,0.0014219689066541777,0.06400748464816561,0.06695809416082378
12,0.9519515466365115,0.2438652029182381,-0.17741831515483714,0.45677460895308536,-0.01217268180940748,0.05364806449293273,0.05612112667149917
13,0.9690730150150073,0.11584937446605595,-0.11981198838602311,0.4647788050813311,-0.21618849866150971,0.04074650294796758,0.042624830457112586
14,0.9698107336286863,0.11430186597420396,-0.12556759954449956,0.47063125916391735,-0.19624333092200963,0.04557745999765774,0.047678484397711815
