,fmom_1m,fmom_12_2,fmom_12m,fvol_12m,post_pub,years_since_pub
1928-06-30,0.0020522550330205236,-0.016352252214500144,-0.0029740909410352775,6.194980916904359e-05,0.0,0.0
1928-07-31,0.023284961573484874,-0.03197678431845896,-0.03170957260391337,-0.02490803814753321,0.0,0.0
1928-08-31,0.01712652303083562,-0.022355345680963548,-0.034528430976663804,-0.024159156537389745,0.0,0.0
1928-09-30,0.016720555374196696,-0.021834974543524805,-0.03295748001402947,-0.02343423235652813,0.0,0.0
1928-10-31,0.01632981085568145,-0.020643879363966913,-0.031171421169320927,-0.022730803613910916,0.0,0.0
1928-11-30,0.015824493909835605,-0.019836224380371293,-0.02997941764157209,-0.022048775880350258,0.0,0.0
1928-12-31,0.015469584945798111,-0.019187495080402454,-0.028848527984708765,-0.021387603069143935,0.0,0.0
1929-01-31,0.014252535167389346,-0.015749898973479066,-0.024525471665687866,-0.02074469854099681,0.0,0.0
1929-02-28,0.013772807074879649,-0.014875505472596157,-0.02325675177355643,-0.020122102726384115,0.0,0.0
1929-03-31,0.0134189044998445,-0.01434923298725008,-0.022447602738001532,-0.01951846411070351,0.0,0.0
1929-04-30,0.013016578848105524,-0.013894135512274383,-0.02174088396187629,-0.01893287527419313,0.0,0.0
1929-05-31,0.012658409481540492,-0.013373905167448267,-0.02096362409679261,-0.018364838367536527,0.0,0.0
1929-06-30,0.01237007834463983,-0.011569733856868157,-0.01847586569244786,0.0390955104963057,0.0,0.0
1929-07-31,0.012167396269809966,-0.010069387501072611,-0.01654820836389159,0.03792208001213086,0.0,0.0
1929-08-31,0.012000282121477392,0.0037641478742475813,0.0017491167319320447,-0.016929662900700998,0.0,0.0
1929-09-30,0.011637711623052565,0.0036485834741621366,0.001694327100638397,-0.016421772318013006,0.0,0.0
1929-10-31,0.011379672188455954,0.0034762679398822787,0.0015852912653553544,-0.0159289118511034,0.0,0.0
1929-11-30,0.011027144544750005,0.003392048600286918,0.0015596837297815432,-0.015450981814498494,0.0,0.0
1929-12-31,0.010667714935613064,0.00330671860093725,0.0015314905753591303,-0.014987525163671064,0.0,0.0
1930-01-31,0.010249625457544357,0.0029452813867190675,0.0012315003210820697,-0.014537400404126356,0.0,0.0
1930-02-28,0.00991289552268106,0.002841746987694072,0.0011793664338415274,-0.014101419197007688,0.0,0.0
1930-03-31,0.009607204861905524,0.0029171687729915683,0.0013253025629166686,-0.013678296185049559,0.0,0.0
1930-04-30,-0.007266348279339642,-0.016300126783984105,-0.016852446809853205,0.09357892482870449,0.0,0.0
1930-05-31,-0.007040676503045272,-0.01580947635185605,-0.01634500702371737,0.0907715368132392,0.0,0.0
1930-06-30,-0.006819989818545357,-0.015337488644513819,-0.015856937001500083,0.08804833620173527,0.0,0.0
1930-07-31,-0.006600661103279616,-0.01482221311403877,-0.015320380708114393,0.08540675216403486,0.0,0.0
1930-08-31,-0.006396512078430674,-0.014383228280883332,-0.014825263803270514,0.08284448268545433,0.0,0.0
1930-09-30,-0.006136537045312242,-0.01397930585879206,-0.014404601525230225,0.0803572580218283,0.0,0.0
1930-10-31,-0.0059754765636276476,-0.013263537210558226,-0.013891991628628447,0.07794562848419137,0.0,0.0
1930-11-30,-0.004657891480558418,-0.01283523209289774,-0.013441078835447689,0.07560722883785852,0.0,0.0
1930-12-31,-0.004518253582510763,-0.012455486632854635,-0.013043609487769541,0.07333893990184993,0.0,0.0
1931-01-31,-0.004382622570990065,-0.012080552641100563,-0.012650605787136787,0.07113867501524586,0.0,0.0
1931-02-28,-0.004251137002592847,-0.011717119798893182,-0.012269892489849013,0.06900449646260522,0.0,0.0
1931-03-31,-0.0041240955817190995,-0.01134324603737482,-0.011902816881590162,0.06693435103211624,0.0,0.0
1931-04-30,-0.004000416839606525,-0.01094744138137647,-0.011482892123101019,0.06492612342972727,0.0,0.0
1931-05-31,-0.003880966281879644,-0.010612593869824074,-0.011174022818232997,0.06297824102737615,0.0,0.0
1931-06-30,-0.003765415221727112,-0.0102133121749239,-0.010804383964702232,0.061088590355258834,0.0,0.0
1931-07-31,-0.03283785971374922,-0.008859884387088058,-0.009285403025447283,0.05925158914927959,0.0,0.0
1931-08-31,-0.030604230388692935,-0.008566941151104495,-0.008976078894744275,0.057473973925431215,0.0,0.0
1931-09-30,-0.02968555844805368,-0.008191993216789015,-0.00857331930487411,0.055749568520874246,0.0,0.0
1931-10-31,-0.028794917556703513,-0.007939478720487543,-0.008308339483480582,0.05407700959908908,0.0,0.0
1931-11-30,-0.018162329613847374,-0.007691281643853668,-0.00804775772938072,0.05245469017018993,0.0,0.0
1931-12-31,-0.017617492222221042,-0.0074677594005978605,-0.007814370376374757,0.05088099676805398,0.0,0.0
1932-01-31,-0.01708909077457354,-0.007179895019308874,-0.007507457550527839,0.04935443226588494,0.0,0.0
1932-02-29,-0.016576358736964985,-0.006959533118297357,-0.007276550770736085,0.04787376803099804,0.0,0.0
1932-03-31,0.1992656177188845,-0.006782564476651489,-0.007091259564797803,0.046436110076377296,0.0,0.0
1932-04-30,0.14232813582589288,-0.006583239488053446,-0.006882835560536633,0.04504284097404263,0.0,0.0
1932-05-31,0.1380582457707374,-0.006384046374989464,-0.006674406001687559,0.04369154385232628,0.0,0.0
1932-06-30,0.1339164824843925,-0.006197861704328978,-0.0064739897479865445,0.04238077618328438,0.0,0.0
1932-07-31,0.1298990013519729,-0.006019788439944731,-0.006288617130629391,0.041109325630048175,0.0,0.0
1932-08-31,0.12600079264074873,-0.00591074142114358,-0.006218873099034567,0.03987613396794233,0.0,0.0
1932-09-30,0.025416325091379324,-0.005708301989845987,-0.006003259531572154,0.038679539237658114,0.0,0.0
1932-10-31,0.0001912482447086368,-0.0055295877101283405,-0.005814703984668489,0.037519115935563965,0.0,0.0
1932-11-30,0.025141131330909755,-0.005372259431954898,-0.005649810844122765,0.036393537026235975,0.0,0.0
1932-12-31,0.024375251143552133,-0.0029033906122203634,-0.001799934117890708,0.03528735814597048,0.0,0.0
1933-01-31,0.023643503748440944,-0.0029571119668143,-0.0019029914723542756,0.03422826430889088,0.0,0.0
1933-02-28,0.022934203860115115,-0.002879326647475944,-0.0018583411597669016,0.029052327951092784,0.0,0.0
1933-03-31,0.0222460674050925,-0.0027907599918752155,-0.001800897309418023,0.015199598527920244,0.0,0.0
1933-04-30,0.021578993371668607,-0.00272228285578797,-0.0017636400790983356,0.014743519612534657,0.0,0.0
1933-05-31,0.02093149643195466,-0.12382363981145578,-0.0016802052672921094,0.014301096131361888,0.0,0.0
1933-06-30,0.02056653978526119,-0.12008147873189923,-0.00160828379727103,0.013871929109535384,0.0,0.0
1933-07-31,0.007373705827213476,-0.11646491311947225,-0.0016027516707800482,0.013455829680267772,0.0,0.0
1933-08-31,0.007152453180942333,-0.112927942590545,-0.0015516783308064926,0.04422750845914184,0.0,0.0
1933-09-30,0.006965219881093875,-0.10470326536913532,0.0003247110478023709,0.0429016934924988,0.0,0.0
1933-10-31,0.006756909273191149,-0.10147067775982964,0.00036643569850964945,0.041614708131653945,0.0,0.0
1933-11-30,0.006543883894308111,-0.09648563520043223,-0.0009841140839310827,0.04036564632489527,0.0,0.0
1933-12-31,0.006348602924907174,-0.09343816418381072,-0.00048266385980968583,0.039154121187965706,0.0,0.0
1934-01-31,0.0061701520136146,-0.08682672517763411,0.0014016378288975076,-0.01537518976858903,0.0,0.0
1934-02-28,0.005984976563654663,-0.0840586075674706,0.0013691512390349857,-0.009089232484309429,0.0,0.0
1934-03-31,0.005805156781465537,-0.08144948085128034,0.0013702961587197652,-0.008816558276003613,0.0,0.0
1934-04-30,0.005630408255065603,-0.07896150796441079,0.0012787600633696627,-0.014657033516895457,0.0,0.0
1934-05-31,0.005460818271839976,-0.07644150264312376,0.0012122528954366608,-0.014217315004923998,0.0,0.0
