signal,IC,IC_t,ICIR,ann_ret_gross,sharpe_gross,nw_t_gross,ann_ret_net,sharpe_net,nw_t_net,one_way_turnover,n_months
fmom_1m,0.08255613126079446,4.618177572319311,0.134372586240501,0.08232918370519071,0.2935676963997161,3.24677959919262,0.05461933914560521,0.19483534339852432,2.1350519349928425,1.1545768566493955,1158
fmom_12_2,0.11390328151986183,5.931909916211801,0.18369940812942154,0.0716200713259392,0.262335638626103,2.58759975889103,0.06398276562645734,0.23438275522705812,2.30699364114335,0.3182210708117444,1158
fmom_12m,0.11597582037996544,5.879428726604125,0.18576666977386502,0.08166509362280529,0.3017710862867175,2.814250022212395,0.07515732160207989,0.2778274767642831,2.5792378421208504,0.2711571675302245,1158
fvol_12m,0.08687392055267702,4.631536047053311,0.1509771028550713,0.02229882392161489,0.08250631902344953,0.8323975313197836,0.01839208817031955,0.06806024312119659,0.6862589026112268,0.16278065630397237,1158
post_pub,0.05483715492578138,1.9491199364284613,0.11460594658548626,0.061709803300134286,0.3396110446868356,1.388364234410405,0.061453393043724026,0.3381362303580671,1.3817766868930739,0.010683760683760682,156
years_since_pub,0.02688902456615049,1.0364245889017891,0.05422509873128888,0.02223272070704462,0.12887929350745897,0.7347073834703269,0.022146467337772383,0.12837028176889698,0.7317232087681,0.0035938903863432163,371
