policy,ann_ret_net,sharpe_net,nw_t_net,one_way_turnover,mean_gamma
agent (learned gamma),0.08925617893384097,0.42274821315483163,3.8378861551398242,0.3987255311095292,0.9485925185801284
myopic (gamma=1),0.09081523596309499,0.428205943852509,3.881360195665131,0.4234997380326514,1.0
