policy,ann_ret_net,sharpe_net,nw_t_net,one_way_turnover,mean_gamma
agent (learned gamma),0.09480963230578404,2.9584372372041794,9.339024939524824,0.3535571854544794,0.8419482158374231
myopic (gamma=1),0.09556176606774754,2.9621507824161246,9.274764865779035,0.4183756911416766,1.0
