agent,ann_ret_net,sharpe_net,nw_t_net,one_way_turnover,mean_gamma
composed (PULSE aim),0.18972987843801248,5.344790957174196,21.036067195951496,0.39462935105927194,0.8062521246378684
baseline (static theta),0.09480963230578404,2.95843723720418,9.339024939524826,0.3535571854544794,0.8419482158374231
