signal,staleness_months,IC,IC_t
sig_momentum,0,0.03739606625540597,10.950763481955365
sig_momentum,1,0.03465251452925004,9.887151907221554
sig_momentum,2,0.02874452643756521,8.764384169060264
sig_momentum,3,0.024318552379294263,7.648907878881886
sig_momentum,4,0.01934534660587622,6.317542386494834
sig_momentum,5,0.016705339067090062,5.491934549751302
sig_momentum,6,0.016238958435285798,5.939607028818933
sig_liquidity,0,0.022515589552291094,7.906536094607534
sig_liquidity,1,0.020521162973540785,7.150890092638096
sig_liquidity,2,0.01948796314104175,7.045088039487089
sig_liquidity,3,0.019449248563095947,6.989383200664239
sig_liquidity,4,0.017743097258103323,6.096492702291045
sig_liquidity,5,0.017551390778941963,6.169198663026942
sig_liquidity,6,0.01701988210692569,6.229190423210466
sig_volatility,0,0.022761756765147863,9.090953667898981
sig_volatility,1,0.019739825221927153,7.617049404307681
sig_volatility,2,0.0184456632961667,7.21648478230885
sig_volatility,3,0.01700737270745693,6.569107603977798
sig_volatility,4,0.016114074578747296,6.642828357020517
sig_volatility,5,0.013735361426087346,6.0129147721933185
sig_volatility,6,0.013409985585147825,5.455181504248922
sig_value,0,0.010291375178923536,4.171970040630006
sig_value,1,0.010957694255019444,4.395243126122922
sig_value,2,0.009795460479139215,3.925627905253699
sig_value,3,0.008728682291000349,3.460027278955608
sig_value,4,0.009050069832932394,3.547054362297955
sig_value,5,0.009262828041073257,3.6280290319783184
sig_value,6,0.00850443237389388,3.3597981566561033
sig_quality,0,0.012944556798361422,4.980744974973704
sig_quality,1,0.012343243554792403,4.572996050386904
sig_quality,2,0.012525871292674361,4.513884388882135
sig_quality,3,0.012775675455244193,4.677222857235799
sig_quality,4,0.013047505251245498,4.862363539051485
sig_quality,5,0.012720280232656771,4.453720059695629
sig_quality,6,0.010373803796585049,3.6753344198709366
sig_dead,0,0.004755961466798886,1.896864317627085
sig_dead,1,0.003413088076594731,1.4220701937944864
sig_dead,2,0.0015927358844570513,0.6527231731272691
sig_dead,3,0.001034096610962715,0.44404840053277855
sig_dead,4,0.0015531657228669727,0.6392621185520546
sig_dead,5,0.0020038920292199947,0.8910551886585384
sig_dead,6,0.0010964193993762282,0.4904021912225413
