signal,sample_end,pub_date,in_sample_ann_ret,in_sample_sharpe,in_sample_n,post_sample_ann_ret,post_sample_sharpe,post_sample_n,post_pub_ann_ret,post_pub_sharpe,post_pub_n,post_sample_retention,post_pub_retention
BM,1976-12-31,1980-12-31,0.09596807434396547,0.763070050374463,306,0.03624593392347186,0.2869038759927063,48,0.07341140332890496,0.47929715031687825,528,0.37768741502054565,0.7649565111183364
GP,2010-12-31,2013-12-31,0.04088655096396132,0.4039272836327189,714,0.05255240677690516,0.8303219304573164,36,0.12290279383177768,0.800014473983011,132,1.2853225703294584,3.005946721700934
IdioVol3F,2000-12-31,2006-12-31,0.07166379656569619,0.33065214349950356,893,0.023498160755720345,0.07101107668265165,72,0.03222283820940727,0.16304176993517602,216,0.3278944443611626,0.4496390053779485
Illiquidity,1997-12-31,2002-12-31,0.043226043491541105,0.36318716726765915,846,-0.004506331401348221,-0.03573146230809837,60,0.005158827795042533,0.07656134081661511,264,-0.10425037864568992,0.11934536169270414
Mom12m,1989-12-31,1993-12-31,0.11682901490954216,0.4263707132998613,756,0.012237170567252965,0.05287511532599765,48,0.10238090717025947,0.33270320395284103,372,0.10474427586955096,0.8763311686701329
